jenis_makam,lokasi,zona,no_lot,ukuran
kotak_abu,KARAWANG,LCB-B-B10,DL-02-18,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-02-28,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-02-38,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-02-68,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-03-08,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-03-18,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-03-28,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-03-38,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-03-68,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-05-08,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-05-18,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-05-28,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-05-38,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-05-68,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-06-08,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-06-18,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-06-28,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-06-38,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-06-68,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-07-08,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-07-18,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-07-28,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-07-38,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-07-68,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-08-08,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-08-18,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-08-28,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-08-38,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-08-68,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-09-08,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-09-18,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-09-28,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-09-38,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-09-68,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-3A-08,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-3A-18,Double
kotak_abu,KARAWANG,LCB-B-B10,DL-3A-28,Double
